Review
seruu banget apalagi Ade aku nonton nya serius banget dan ga ada iklan sama sekali jadi kalo aku nonton ga usah nunggu lama deh dan juga grafik nya lucu banget ga ada kekurangan seru banget tapi ada sesuatu yang mau aku saranin ya yaitu bisa di percepat vidio nya ya aku saran satu saja dan gaa ada yang lain terima kasih 🙏
"Aplikasi nya sangat bagus, buat anak-anak agar bisa menonton tontonan yg sesuai usianya. Akan tetapi, ini tidak ada fitur searching ya? jadinya video yang muncul di beranda hanya itu-itu saja. Dan sulit mencari kartun kesukaan anak karena tidak ada fitur search. Kartun yg tersedia juga tidak terlalu banyak. Jadi anak cepat bosan. Semoga YT Kids bisa lebih banyak menambah kartun anak-anak Indonesia maupun luar Indonesia yg sudah ada terjemahannya! Dan juga konten bermanfaat untuk anak lainnya."
"aku suka sii soal nya seru!!,,terus memuaskan,isi nya juga (film) nya bagus ini untuk anak²saja,saya sama ade saya suka bangett,flim ny bagus untuk anak kecil umur dari umur 1 aku sukaa sekalii sering²upted yaa,yg paling ak suka ga ada bug ny,ga ada iklan nya nya jugaaaa"
Aplikasinya cocok buat anak kecil terutama gua yang umurnya baru 8 Tahun jadi seru-nih terus gak-ada iklan gak kayak YOUTUBE biasa jadi nyaman gak ada iklan bagus terus yang paling aku sukai ada video yang habis ditonton bisa ditonton lagi apalagi belum ditonton jadi bagus nih cepetan instal aplikasi ini biar gak rugi terimakasih yang buat aplikasi nya👃👃👃👃👃👃👃👃👃👃👃💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀
bagus banget tapi harusnya ini nggak ada iklan tapi kok aku ada itu katanya nggak ada iklan ini bohong banget sih aku lho nggak mau iklan-iklan aku lebih suka YouTube yang biasanya aja walaupun itu suka iklan tapi nggak macet-macet kayak ini aku males banget dengan aku capek tahu dari kemarin kemarin tuh itu iklan terus padahal aku punya kuota punya wi-fi semuanya pun aku ada tapi nggak bisa-bisa sih banyak alasan banget deh game ini mah capek dimainin kok aku tuh males mulu tolong dong yang bua
"Terimakasih, tanpa aplikasi ini, saya tidak dapat pergi menonton youtube setelah youtube pertama tidak dapat di upgrad yang artinya tidak dapat di buka. Akhirnya saya memutuskan untuk download apk youtube kids, kami sangat puas walaupun tampilan nyaa hp harus di miringkan 😁 tapi aman untuk anakk..."
"Bagus cocok untuk anak anak , Karena YouTube yg biasa sering kata katanya saru, jadi anak2 jadi sering ikut bilang saru,sedangkan ini tidak ada yang saru ,Tapi juga iklannya dikurangin ya sering bgt aku liat dikitt iklan, Makasih 🙏🙏"
oke aja bagus keren dan berguna untuk kalo anak lagi bosen tapi tolong kurangi video you tube yg berhubungan dengan kata kasar contoh nya seperti game roblox yg ada kata kasar nya sekian
Aplikasi ini harus pake wi fi kalo gak pake wifi gak bisa di maininn dan juga untuk medolod nya juga pake wifi jadi aku kasih bintang tiga sebenarnya aku umur ku 10 tapi karena youtube biasa ku sudah usang makanya aku main youtune kids
"Halo youtube kids, senang bisa punya aplikasi youtube kids. Tapi kenapa Beranda dari youtube kids tidak selalu otomatis memperbarui vidio yg baru2 lagi malah vidio yg sudah ditonton ada diberanda semua sampai anak saya bosan. Beranda seharusnya buat untuk perbaruan vidio baru yg akan muncul lagi. Yg sudah ditonton masukan ke History. Mohon diperbarui ya🙏"
